City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
153,fort st. john,56.2499,-120.8529,24.69,93,20,10.36,CA,1712413513
154,kolonia town,6.964,158.206,82.4,83,40,4.61,FM,1712413761
155,sitka,57.0531,-135.33,37.29,81,75,6.91,US,1712413763
156,whitehorse,60.7161,-135.0538,29.17,86,75,9.22,CA,1712413764
157,williams lake,52.1415,-122.1445,27.97,74,20,2.3,CA,1712413652
158,bayanaul,50.7889,75.6956,55.42,42,100,5.03,KZ,1712413766
159,paita,-5.0892,-81.1144,74.59,74,99,11.23,PE,1712413768
160,borkum,53.5809,6.6915,74.95,68,82,21.09,DE,1712413577
161,ayr,55.4627,-4.6339,58.89,72,75,39.12,GB,1712413204
162,sinabang,2.4803,96.3801,81.82,84,21,5.44,ID,1712413772
163,olyokminsk,60.3736,120.4264,1.9,87,98,6.26,RU,1712413773
164,gorontalo,0.5412,123.0595,76.8,98,100,3.09,ID,1712413776
165,babayevo,59.3936,35.9371,40.15,87,100,6.4,RU,1712413777
166,san pedro,14.35,121.0167,83.43,72,20,5.99,PH,1712413779
167,belmonte,-15.8631,-38.8828,83.01,69,21,10.11,BR,1712413780
168,jiutai,44.1525,125.8328,46.74,32,19,9.35,CN,1712413781
169,utrik,11.2278,169.8474,80.31,79,98,20.6,MH,1712413783
170,wailua homesteads,22.0669,-159.378,70.75,73,40,23.02,US,1712413784
171,vadso,70.0744,29.7487,23.88,68,20,12.66,NO,1712413786
172,remire-montjoly,4.9167,-52.2667,87.84,66,75,16.11,GF,1712413787
173,broken hill,-31.95,141.4333,61.23,73,53,7.31,AU,1712413541
174,naha,26.2125,127.6811,71.87,94,40,2.3,JP,1712413499
175,la passe,45.5549,-0.8967,73.63,69,100,7.72,FR,1712413791
176,petatlan,17.5167,-101.2667,71.4,40,8,2.08,MX,1712413679
177,alice springs,-23.7,133.8833,58.55,51,0,4.61,AU,1712413797
178,cooper's town,26.8667,-77.5167,72.09,55,0,15.46,BS,1712413798
179,verkhovazh'ye,60.7472,42.0465,32.14,56,94,11.43,RU,1712413799
180,iskateley,67.6803,53.1512,19.02,89,60,15.01,RU,1712413801
181,goroka,-6.0834,145.3873,63.84,98,100,2.73,PG,1712413802
182,bomdila,27.25,92.4,42.8,86,99,6.67,IN,1712413803
183,aioun,16.6614,-9.6149,108.41,10,14,2.21,MR,1712413804
184,taoudenni,22.6783,-3.9836,101.34,6,0,8.23,ML,1712413806
185,ash shihaniyah,25.3686,51.2264,82.02,20,0,9.64,QA,1712413807
186,matelandia,-25.2408,-53.9964,94.28,33,7,8.41,BR,1712413808
187,hamilton,39.1834,-84.5333,48.81,67,0,3.44,US,1712413761
188,langsa,4.4683,97.9683,78.55,91,19,2.46,ID,1712413811
189,castro,-24.7911,-50.0119,69.08,82,86,9.71,BR,1712413671
190,kirakira,-10.4544,161.9205,79.83,88,100,8.46,SB,1712413814
191,ain sukhna,29.6002,32.3167,79.68,25,0,15.05,EG,1712413816
192,namdrik,5.5994,168.1028,82.08,81,84,16.75,MH,1712413817
193,stanley,54.868,-1.6985,63.99,56,20,23.02,GB,1712413818
194,puerto leguizamo,-0.1934,-74.7819,75.06,96,100,0.76,CO,1712413820
195,kingston,17.997,-76.7936,87.17,62,20,3.44,JM,1712413821
196,trinidad,-14.8333,-64.9,78.78,94,100,9.22,BO,1712413822
197,ati,13.2154,18.3353,105.66,8,98,2.82,TD,1712413824
198,ambon,-3.6954,128.1814,83.88,95,20,5.75,ID,1712413825
199,kham sakae saeng,15.3322,102.1728,98.94,31,1,3.91,TH,1712413826
200,fale old settlement,-9.3852,-171.2468,83.77,73,38,4.81,TK,1712413828
201,santa sylvina,-27.8326,-61.1375,78.06,66,85,10.0,AR,1712413829
202,baise city,23.8997,106.6133,73.35,99,100,4.59,CN,1712413831
203,pervomayskoye,43.919,46.7102,60.89,53,99,6.98,RU,1712413832
204,urangan,-25.3,152.9,74.19,96,76,7.0,AU,1712413833
205,nangomba,-10.9,38.5,76.8,94,94,3.85,TZ,1712413835
206,taroa,8.7058,171.2275,81.37,81,69,19.19,MH,1712413836
207,port douglas,-16.4833,145.4667,79.02,86,97,3.29,AU,1712413837
208,hampton bays,40.869,-72.5176,44.94,60,75,21.0,US,1712413839
209,malabar,-33.9667,151.25,69.13,76,0,5.75,AU,1712413840
210,dakoro,14.5106,6.765,106.57,6,91,9.6,NE,1712413841
211,vilyuchinsk,52.9306,158.4028,26.87,81,16,10.33,RU,1712413843
212,codrington,-38.2667,141.9667,59.56,96,100,5.08,AU,1712413844
213,holualoa,19.6228,-155.9522,69.64,85,75,4.61,US,1712413846
214,yokadouma,3.5167,15.05,76.26,83,100,2.89,CM,1712413847
215,mahina,-17.5065,-149.489,80.37,78,75,3.44,PF,1712413848
216,murghob,38.1702,73.9667,18.59,59,0,10.78,TJ,1712413851
217,horta,38.5333,-28.6333,60.44,74,75,20.71,PT,1712413852
218,puerto baquerizo moreno,-0.9,-89.6,79.79,83,20,9.22,EC,1712413853
219,bom jesus,-9.0744,-44.3586,87.96,57,14,6.82,BR,1712413855
220,chui,-33.6971,-53.4616,71.44,58,0,7.99,UY,1712413646
221,bathsheba,13.2167,-59.5167,84.81,79,75,19.57,BB,1712413857
222,labuan,5.2767,115.2417,79.16,94,20,0.0,MY,1712413859
223,marrakesh,31.6315,-8.0083,91.47,24,40,2.3,MA,1712413731
224,fada,9.5667,8.3,96.44,22,92,4.52,NG,1712413861
225,siwa oasis,29.2041,25.5195,81.37,14,0,10.4,EG,1712413863
226,shalqar,47.8333,59.6,63.54,36,94,6.82,KZ,1712413864
227,bonthe,7.5264,-12.505,86.94,65,100,12.5,SL,1712413866
228,mar del plata,-38.0023,-57.5575,77.52,61,0,14.97,AR,1712413867
229,den burg,53.0542,4.7972,73.94,40,75,26.46,NL,1712413868
230,sangkhla buri,15.1555,98.4536,77.47,77,99,1.1,TH,1712413870
231,khandyga,62.6667,135.6,15.53,98,100,3.15,RU,1712413871
232,mount isa,-20.7333,139.5,71.37,46,4,10.36,AU,1712413827
233,cidreira,-30.1811,-50.2056,73.6,55,0,12.35,BR,1712413875
234,isangel,-19.55,169.2667,74.43,77,100,8.66,VU,1712413877
235,armacao de buzios,-22.7469,-41.8817,84.25,75,4,7.76,BR,1712413878
236,ochakiv,46.6128,31.5498,51.96,79,65,11.81,UA,1712413880
237,laguna,38.421,-121.4238,44.44,89,0,8.05,US,1712413881
238,quimili,-27.6333,-62.4167,72.79,91,100,10.45,AR,1712413791
239,santa marinella,42.0345,11.8536,76.55,59,14,4.16,IT,1712413884
240,yinchuan,38.4681,106.2731,61.57,36,100,3.74,CN,1712413885
241,manadhoo,5.7667,73.3833,85.32,71,70,3.13,MV,1712413887
242,mahibadhoo,3.7833,72.9667,83.73,76,83,7.47,MV,1712413888
243,chonchi,-42.6128,-73.8092,56.12,92,99,6.44,CL,1712413889
244,dunedin,-45.8742,170.5036,50.81,94,96,5.23,NZ,1712413781
245,kotlas,61.2611,46.6556,31.05,46,99,11.99,RU,1712413891
246,kununurra,-15.7667,128.7333,75.18,83,81,0.0,AU,1712413893
247,fortaleza,-3.7227,-38.5247,87.93,83,40,4.61,BR,1712413820
248,mazagao,-0.115,-51.2894,87.85,56,95,5.95,BR,1712413897
249,papao,-17.75,-149.55,80.28,73,100,5.44,PF,1712413898
250,zabaykal'sk,49.6333,117.3167,30.0,32,1,8.46,RU,1712413899
251,luderitz,-26.6481,15.1594,66.99,57,0,28.32,NA,1712413901
252,kiunga,-6.1219,141.2906,74.88,99,76,1.68,PG,1712413902
253,faro,37.0194,-7.9322,71.19,88,40,11.5,PT,1712413903
254,ha giang,22.8333,104.9833,76.75,95,79,3.65,VN,1712413905
255,eraan,9.0629,117.7016,80.44,81,36,4.7,PH,1712413906
256,esquel,-42.9,-71.3167,50.04,79,91,10.76,AR,1712413907
257,el alto,-4.2714,-81.2147,78.46,66,95,6.55,PE,1712413909
258,kimbe,-5.5502,150.1429,77.22,94,92,3.98,PG,1712413910
259,pangody,65.85,74.4859,12.42,87,52,16.58,RU,1712413911
260,sakakah,29.9697,40.2064,92.77,19,96,1.48,SA,1712413913
261,baoshan,46.5586,131.4244,43.23,46,12,14.16,CN,1712413914
262,zhaotong,27.3167,103.7167,48.38,94,100,8.81,CN,1712413915
263,damghan,36.1683,54.348,73.65,17,0,8.01,IR,1712413916
264,shuangjiang,26.1547,109.7138,53.56,97,100,3.11,CN,1712413918
265,ponta pora,-22.5361,-55.7256,85.91,62,0,11.5,BR,1712413919
266,araioses,-2.89,-41.9031,89.58,66,40,11.5,BR,1712413920
267,edremit,39.5961,27.0244,71.35,46,40,11.5,TR,1712413922
268,tabas,33.5959,56.9244,84.33,12,0,6.85,IR,1712413923
269,kerikeri,-35.2268,173.9474,60.98,88,95,8.59,NZ,1712413925
270,port augusta,-32.5,137.7667,60.58,80,2,7.99,AU,1712413926
271,kharp,66.8014,65.8081,21.7,84,83,12.26,RU,1712413927
272,necochea,-38.5473,-58.7368,79.86,37,0,13.89,AR,1712413928
273,khovd,48.0056,91.6419,44.11,42,22,1.63,MN,1712413930
274,nizhnesortymskiy,62.4397,71.7603,11.01,84,45,9.98,RU,1712413931
275,glennville,31.9366,-81.9285,56.71,47,7,8.43,US,1712413932
